,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start Date,Completion Date,Locations,URL
0,0,Duvelisib to Combat COVID-19,Recruiting,Drug: Duvelisib|Procedure: Peripheral blood draw|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,28.0,"October 12, 2020","April 30, 2022",United States,https://ClinicalTrials.gov/show/NCT04372602
1,1,Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial,Recruiting,Drug: Decitabine|Other: Placebo Saline,All,"18 Years and older   (Adult, Older Adult)",Phase 2,40.0,"September 14, 2020",July 2021,United States,https://ClinicalTrials.gov/show/NCT04482621
2,2,A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).,Recruiting,Drug: Infliximab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,17.0,"June 1, 2020",December 2020,United States,https://ClinicalTrials.gov/show/NCT04425538
3,3,Safety & Performance Evaluation of Seraph 100 in Treatment of Pts With COVID-19,Not yet recruiting,Device: Seraph 100,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,42.0,"December 15, 2020","April 15, 2021",Netherlands,https://ClinicalTrials.gov/show/NCT04547257
4,4,Safety and Efficacy of C21 in Subjects With COVID-19,Completed,Drug: C21|Drug: Placebo,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,106.0,"July 21, 2020","October 13, 2020",India,https://ClinicalTrials.gov/show/NCT04452435
5,5,Application of Desferal to Treat COVID-19,Recruiting,Drug: Deferoxamine,All,"3 Years to 99 Years   (Child, Adult, Older Adult)",Phase 1|Phase 2,50.0,April 2020,March 2021,"Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04333550
6,6,Dornase Alpha for the Treatment of COVID-19,Recruiting,Drug: Pulmozyme,All,"18 Years and older   (Adult, Older Adult)",Phase 2,60.0,"May 25, 2020","September 25, 2020",Turkey,https://ClinicalTrials.gov/show/NCT04432987
7,7,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,"Active, not recruiting",Drug: Favipiravir|Other: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,100.0,"March 25, 2020",July 2020,Italy,https://ClinicalTrials.gov/show/NCT04336904
8,8,Study of AZD1222 for the Prevention of COVID-19 in Japan,"Active, not recruiting",Drug: AZD1222|Drug: 0.9% (w/v) saline,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,256.0,"August 23, 2020","November 10, 2021",Japan,https://ClinicalTrials.gov/show/NCT04568031
9,9,Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia,Recruiting,Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,500.0,"May 22, 2020","August 22, 2020",Spain,https://ClinicalTrials.gov/show/NCT04445272
10,10,A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection,Recruiting,Biological: anti-SARS-CoV-2 convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 2,131.0,"May 11, 2020","May 1, 2023",United States,https://ClinicalTrials.gov/show/NCT04354831
11,11,AZD1222 Vaccine for the Prevention of COVID-19,Suspended,Biological: AZD1222,All,"18 Years to 130 Years   (Adult, Older Adult)",Phase 3,100.0,"September 2, 2020","March 12, 2021",Russian Federation,https://ClinicalTrials.gov/show/NCT04540393
12,12,Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression,Not yet recruiting,Drug: Tocilizumab|Drug: Methylprednisolone,All,"18 Years and older   (Adult, Older Adult)",Phase 3,310.0,"April 15, 2020","October 31, 2020",Malaysia,https://ClinicalTrials.gov/show/NCT04345445
13,13,Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia,Recruiting,Drug: Emtricitabine/tenofovir|Drug: Colchicine Pill|Drug: Rosuvastatin|Other: Standard treatment,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,1200.0,"August 18, 2020","February 28, 2021",Colombia,https://ClinicalTrials.gov/show/NCT04359095
14,14,Inhaled Nitric Oxide for Preventing Progression in COVID-19,Recruiting,Drug: Nitric Oxide,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,42.0,"May 12, 2020","July 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04388683
