"","MapCountry","AgeChild","AgeAdult","AgeOlderAdult"
"1","United States","No","Yes","Yes"
"2","France","No","Yes","Yes"
"3","United States","No","Yes","Yes"
"4","China","No","Yes","Yes"
"5","United States","No","Yes","Yes"
"6","Netherlands","No","Yes","Yes"
"8","India","No","Yes","Yes"
"9","Iran, Islamic Republic of","Yes","Yes","Yes"
"10","Turkey","No","Yes","Yes"
"11","Switzerland","Yes","Yes","Yes"
"13","Italy","No","Yes","Yes"
"14","Japan","No","Yes","Yes"
"15","China","No","Yes","Yes"
"16","United States","No","Yes","Yes"
"17","Georgia","Yes","Yes","Yes"
"18","United Kingdom","No","Yes","Yes"
"19","Russian Federation","No","Yes","Yes"
"20","Malaysia","No","Yes","Yes"
"21","Colombia","No","Yes","Yes"
"22","China","No","Yes","Yes"
"25","Portugal","No","Yes","Yes"
"26","United States","No","Yes","Yes"
"27","Georgia","No","Yes","Yes"
"28","France","No","Yes","Yes"
"29","Pakistan","No","Yes","Yes"
"31","United States","No","Yes","Yes"
"33","United Kingdom","No","Yes","Yes"
"34","United States","No","Yes","Yes"
"35","United States","No","Yes","Yes"
"36","United States","No","Yes","Yes"
"37","Belgium","No","Yes","Yes"
"38","Korea, Republic of","No","Yes","Yes"
"39","United Kingdom","No","Yes","Yes"
"40","Puerto Rico","No","Yes","Yes"
"41","United States","No","Yes","Yes"
"42","United States","No","Yes","Yes"
"44","Italy","Yes","Yes","Yes"
"45","Egypt","No","Yes","Yes"
"46","United States","No","Yes","Yes"
"47","China","No","Yes","Yes"
"48","China","No","Yes","Yes"
"49","Israel","No","Yes","Yes"
"50","Belgium","No","Yes","Yes"
"51","Pakistan","Yes","Yes","Yes"
"52","United States","No","Yes","Yes"
"53","United States","No","Yes","Yes"
"54","United States","No","Yes","Yes"
"55","United States","No","Yes","Yes"
"56","Spain","Yes","Yes","Yes"
"57","United States","No","Yes","Yes"
"58","France","No","Yes","Yes"
"59","United States","No","Yes","Yes"
"61","Indonesia","Yes","Yes","Yes"
"62","Mexico","No","Yes","Yes"
"63","Iran, Islamic Republic of","Yes","Yes","Yes"
"64","Egypt","Yes","Yes","No"
"65","Brazil","No","Yes","Yes"
"66","China","No","Yes","Yes"
"67","United States","No","Yes","Yes"
"68","United States","No","Yes","Yes"
"69","Jersey","Yes","Yes","Yes"
"70","Jersey","No","Yes","Yes"
"71","Italy","No","Yes","Yes"
"72","France","No","Yes","Yes"
"73","Peru","No","Yes","Yes"
"75","France","Yes","No","No"
"76","Saudi Arabia","No","Yes","Yes"
"77","Egypt","No","Yes","Yes"
"78","United States","No","Yes","Yes"
"79","China","No","Yes","Yes"
"80","Belgium","Yes","Yes","Yes"
"81","United States","No","Yes","Yes"
"84","Russian Federation","No","Yes","Yes"
"85","Brazil","No","Yes","Yes"
"86","France","No","Yes","Yes"
"87","Jersey","No","Yes","Yes"
"88","United States","No","Yes","Yes"
"90","Jersey","No","Yes","Yes"
"91","Germany","Yes","Yes","Yes"
"92","Georgia","No","Yes","Yes"
"93","Italy","No","Yes","Yes"
"94","Russian Federation","No","Yes","Yes"
"95","United States","No","Yes","Yes"
"96","Turkey","No","Yes","Yes"
"97","United States","Yes","Yes","Yes"
"98","Canada","No","Yes","Yes"
"99","Canada","No","Yes","Yes"
"100","Italy","No","Yes","Yes"
"102","China","Yes","Yes","Yes"
"103","Brazil","No","Yes","Yes"
"104","China","No","Yes","Yes"
"105","Canada","No","Yes","Yes"
"106","United Kingdom","No","Yes","No"
"107","Singapore","No","Yes","Yes"
"109","Spain","No","Yes","Yes"
"110","China","Yes","Yes","Yes"
"111","Germany","No","Yes","Yes"
"112","France","No","Yes","Yes"
"113","Sweden","No","Yes","Yes"
"114","Canada","No","Yes","Yes"
"115","Brazil","Yes","Yes","Yes"
"116","China","No","Yes","Yes"
"117","China","No","Yes","Yes"
"119","Switzerland","Yes","Yes","Yes"
"120","Japan","No","Yes","Yes"
"121","Egypt","No","Yes","Yes"
"122","Italy","No","Yes","Yes"
"123","Japan","No","Yes","Yes"
"124","United States","No","Yes","Yes"
"126","Belgium","No","Yes","Yes"
"127","France","No","Yes","Yes"
"128","China","No","Yes","Yes"
"129","United Kingdom","Yes","Yes","Yes"
"130","Saudi Arabia","No","Yes","Yes"
"131","Italy","No","Yes","Yes"
"132","France","No","Yes","Yes"
"133","Belgium","No","Yes","Yes"
"134","Brazil","Yes","Yes","Yes"
"135","Spain","No","Yes","Yes"
"136","Portugal","No","Yes","Yes"
"137","United States","No","Yes","Yes"
"138","Germany","No","Yes","Yes"
"139","Italy","No","Yes","Yes"
"140","United States","No","Yes","Yes"
"141","Colombia","No","Yes","Yes"
"142","China","No","Yes","Yes"
"143","United States","No","Yes","Yes"
"144","China","No","Yes","Yes"
"146","Japan","No","Yes","Yes"
"147","United States","No","Yes","Yes"
"148","United States","No","Yes","Yes"
"149","Brazil","No","Yes","Yes"
"150","Italy","No","Yes","No"
"151","Mexico","No","Yes","No"
"152","Sweden","No","Yes","Yes"
"154","France","No","Yes","Yes"
"155","Spain","No","Yes","Yes"
"156","Russian Federation","No","Yes","Yes"
"158","Georgia","No","Yes","Yes"
"159","United States","No","Yes","Yes"
"160","United States","No","Yes","Yes"
"161","Iran, Islamic Republic of","No","Yes","Yes"
"162","Turkey","No","Yes","No"
"163","Brazil","No","Yes","Yes"
"164","Iran, Islamic Republic of","No","Yes","Yes"
"165","South Africa","No","Yes","Yes"
"166","Spain","No","Yes","Yes"
"168","United States","No","Yes","Yes"
"169","Iran, Islamic Republic of","No","Yes","Yes"
"171","Spain","No","Yes","Yes"
"172","Brazil","No","Yes","Yes"
"174","Philippines","No","Yes","No"
"175","United States","No","Yes","Yes"
"176","Georgia","No","Yes","Yes"
"177","United States","No","Yes","Yes"
"178","United States","No","Yes","Yes"
"179","Jersey","No","Yes","Yes"
"180","Sweden","No","Yes","Yes"
"181","Mexico","No","Yes","Yes"
"183","United States","No","Yes","Yes"
"184","China","No","Yes","Yes"
"185","China","No","Yes","Yes"
"186","Denmark","No","Yes","Yes"
"187","Denmark","No","Yes","Yes"
"188","United States","No","Yes","Yes"
"189","Belgium","No","Yes","No"
"190","Italy","No","Yes","Yes"
"191","Canada","Yes","No","No"
"192","United States","No","Yes","Yes"
"194","United States","No","Yes","Yes"
"195","Georgia","No","Yes","Yes"
"196","Spain","No","Yes","Yes"
"197","France","No","Yes","Yes"
"198","Jersey","No","Yes","Yes"
"199","Korea, Republic of","No","Yes","Yes"
"200","Spain","No","Yes","Yes"
"201","France","No","Yes","Yes"
"202","Korea, Republic of","No","Yes","Yes"
"203","France","No","Yes","Yes"
"205","India","No","Yes","Yes"
"206","Georgia","No","Yes","Yes"
"207","Brazil","No","Yes","Yes"
"208","Argentina","No","Yes","Yes"
"209","United States","No","Yes","Yes"
"211","France","No","Yes","Yes"
"212","Pakistan","No","Yes","Yes"
"213","Switzerland","No","Yes","Yes"
"214","Senegal","No","Yes","Yes"
"215","Italy","No","Yes","Yes"
"217","Canada","No","Yes","Yes"
"218","Argentina","No","Yes","Yes"
"219","Israel","No","Yes","Yes"
"220","France","No","Yes","Yes"
"222","United States","No","Yes","Yes"
"223","Angola","No","Yes","Yes"
"224","France","No","Yes","Yes"
"225","Iran, Islamic Republic of","No","Yes","Yes"
"226","Italy","Yes","Yes","Yes"
"227","Argentina","No","Yes","Yes"
"228","Canada","Yes","Yes","Yes"
"229","Argentina","No","Yes","Yes"
"230","Montserrat","No","Yes","Yes"
"231","United States","No","Yes","Yes"
"232","Iran, Islamic Republic of","No","Yes","Yes"
"233","United States","No","Yes","Yes"
"234","United States","No","Yes","Yes"
"235","Spain","No","Yes","Yes"
"236","France","No","Yes","Yes"
"237","United States","No","Yes","Yes"
"238","Germany","No","Yes","Yes"
"240","France","No","Yes","Yes"
"241","Germany","No","Yes","Yes"
"242","China","No","Yes","Yes"
"243","Spain","No","Yes","Yes"
"244","France","No","Yes","Yes"
"245","United States","No","Yes","Yes"
"247","Spain","Yes","Yes","Yes"
"248","Germany","Yes","Yes","Yes"
"249","France","No","Yes","Yes"
"250","Georgia","No","Yes","Yes"
"251","United Kingdom","No","Yes","Yes"
"252","Mexico","No","Yes","Yes"
"253","Mexico","No","Yes","Yes"
"254","United Kingdom","No","Yes","Yes"
"255","United States","No","Yes","Yes"
"256","China","No","Yes","Yes"
"257","India","No","Yes","Yes"
"258","France","Yes","Yes","Yes"
"259","India","Yes","Yes","Yes"
"260","Russian Federation","No","Yes","No"
"262","Saudi Arabia","No","Yes","Yes"
"263","United States","No","Yes","Yes"
"264","Egypt","No","Yes","Yes"
"265","China","No","Yes","Yes"
"266","United Kingdom","No","Yes","Yes"
"267","France","No","Yes","Yes"
"268","Belgium","No","Yes","Yes"
"269","United Kingdom","Yes","Yes","Yes"
"270","France","Yes","Yes","Yes"
"271","Italy","Yes","Yes","Yes"
"272","Netherlands","Yes","Yes","Yes"
"273","United States","No","Yes","Yes"
"274","United Kingdom","No","Yes","Yes"
"275","Israel","No","Yes","Yes"
"276","United States","No","Yes","Yes"
"277","United States","No","Yes","Yes"
"278","Egypt","Yes","Yes","Yes"
"279","United States","No","Yes","Yes"
"280","United States","No","Yes","Yes"
"281","United States","No","Yes","Yes"
"282","United States","Yes","Yes","Yes"
"284","United States","No","Yes","Yes"
"285","United States","No","Yes","Yes"
"286","United States","No","Yes","Yes"
"287","Egypt","No","Yes","No"
"288","Egypt","Yes","Yes","Yes"
"289","Brazil","No","Yes","Yes"
"290","Saudi Arabia","No","Yes","Yes"
"291","United Kingdom","No","Yes","Yes"
"293","Georgia","No","Yes","Yes"
"294","United States","No","Yes","Yes"
"295","Russian Federation","No","Yes","Yes"
"296","Belgium","No","Yes","Yes"
"297","India","No","Yes","Yes"
"298","Egypt","No","Yes","Yes"
"299","United States","No","Yes","Yes"
"300","Italy","No","Yes","Yes"
"301","United States","No","Yes","Yes"
"302","China","No","Yes","Yes"
"303","France","No","Yes","Yes"
"304","United States","No","Yes","Yes"
"305","Israel","No","Yes","Yes"
"306","India","No","Yes","Yes"
"308","Italy","No","Yes","Yes"
"309","Denmark","No","Yes","Yes"
"310","Belgium","No","Yes","Yes"
"312","United Kingdom","No","Yes","Yes"
"313","Australia","No","Yes","Yes"
"314","United Kingdom","No","Yes","Yes"
"315","United States","No","Yes","Yes"
"316","Georgia","No","Yes","Yes"
"317","Mexico","No","Yes","Yes"
"318","Georgia","No","Yes","Yes"
"319","United States","No","Yes","Yes"
"320","Denmark","No","Yes","Yes"
"321","United States","No","Yes","Yes"
"322","Germany","No","Yes","Yes"
"323","Georgia","No","Yes","Yes"
"324","United States","No","Yes","Yes"
"325","United States","No","Yes","Yes"
"326","Italy","No","Yes","Yes"
"327","Egypt","Yes","Yes","Yes"
"328","Italy","No","Yes","Yes"
"330","Denmark","No","Yes","Yes"
"331","Canada","No","Yes","Yes"
"332","Israel","No","Yes","Yes"
"333","United Kingdom","No","Yes","Yes"
"334","United States","No","Yes","Yes"
"335","Egypt","No","Yes","Yes"
"336","Poland","No","Yes","Yes"
"338","Brazil","No","Yes","Yes"
"339","Germany","No","Yes","Yes"
"340","United States","No","Yes","Yes"
"341","Denmark","No","Yes","Yes"
"342","United States","No","Yes","Yes"
"344","Georgia","No","Yes","Yes"
"345","United Kingdom","No","Yes","Yes"
"346","Turkey","No","Yes","Yes"
"347","United States","No","Yes","Yes"
"348","Germany","No","Yes","Yes"
"349","United States","No","Yes","Yes"
"350","Turkey","No","Yes","Yes"
"351","Italy","No","Yes","Yes"
"353","United States","No","Yes","Yes"
"354","Canada","No","Yes","Yes"
"355","Belgium","Yes","Yes","Yes"
"357","Canada","No","Yes","Yes"
"358","Spain","No","Yes","Yes"
"359","Denmark","No","Yes","Yes"
"360","Germany","Yes","Yes","Yes"
"362","Spain","Yes","Yes","Yes"
"363","United States","No","Yes","Yes"
"364","United States","No","Yes","Yes"
"365","United States","No","Yes","Yes"
"366","Russian Federation","No","Yes","Yes"
"367","United States","No","Yes","Yes"
"368","Brazil","No","Yes","Yes"
"369","United States","No","Yes","Yes"
"370","United Kingdom","Yes","Yes","Yes"
"371","Switzerland","No","Yes","Yes"
"372","Spain","No","Yes","Yes"
"373","Pakistan","Yes","Yes","Yes"
"374","United States","No","Yes","Yes"
"375","Chile","No","Yes","Yes"
"376","United States","No","Yes","Yes"
"377","United States","No","Yes","Yes"
"378","United States","No","Yes","Yes"
"379","United States","No","Yes","Yes"
"380","Spain","No","Yes","Yes"
"382","Mexico","No","Yes","Yes"
"383","Italy","Yes","Yes","Yes"
"384","United States","Yes","Yes","Yes"
"385","Hong Kong","No","Yes","Yes"
"386","Israel","No","Yes","Yes"
"387","United States","No","Yes","Yes"
"388","United Kingdom","Yes","Yes","Yes"
"389","Turkey","No","Yes","No"
"390","Israel","No","Yes","Yes"
"392","Sweden","No","Yes","Yes"
"394","United States","No","Yes","Yes"
"395","Argentina","No","Yes","Yes"
"396","United States","No","Yes","Yes"
"397","Spain","Yes","Yes","Yes"
"398","France","No","Yes","Yes"
"399","Spain","No","Yes","Yes"
"400","Jordan","No","Yes","Yes"
"401","Germany","No","Yes","Yes"
"402","United States","No","Yes","Yes"
"403","United Kingdom","No","Yes","Yes"
"405","Canada","No","Yes","Yes"
"406","United States","No","Yes","Yes"
"407","United States","No","Yes","Yes"
"408","United States","No","Yes","Yes"
