,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start.Date,Completion.Date,Last.Update.Posted,Locations,URL,MapCountry,Drugonly,Month,Completion.Year,day_of_week
0,1,Duvelisib to Combat COVID-19,Recruiting,Drug: Duvelisib|Procedure: Peripheral blood draw|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,28.0,"October 12, 2020",2022-04-30,"November 9, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States",https://ClinicalTrials.gov/show/NCT04372602,United States,Duvelisib|Placebo,4.0,2022,Saturday
1,2,Observational Cohort of COVID-19 Patients at Raymond-Poincare,Recruiting,,All,"18 Years and older   (Adult, Older Adult)",,500.0,"May 7, 2020",2020-06-01,"May 14, 2020","Department of Infectiology, Raymond Poincaré Hospital, APHP, Garches, France",https://ClinicalTrials.gov/show/NCT04364698,France,,6.0,2020,Monday
2,3,Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial,Recruiting,Drug: Decitabine|Other: Placebo Saline,All,"18 Years and older   (Adult, Older Adult)",Phase 2,40.0,"September 14, 2020",2021-07-01,"September 25, 2020","Johns Hopkins University, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04482621,United States,Decitabine,7.0,2021,Thursday
3,4,COVID-19 Surveillance Based on Smart Wearable Device,Not yet recruiting,,All,"18 Years to 75 Years   (Adult, Older Adult)",,200.0,"July 1, 2020",2021-03-10,"July 7, 2020","Peking University First Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04459637,China,,3.0,2021,Wednesday
4,5,A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).,Recruiting,Drug: Infliximab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,17.0,"June 1, 2020",2020-12-01,"June 11, 2020","Tufts Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04425538,United States,Infliximab,12.0,2020,Tuesday
5,6,Safety & Performance Evaluation of Seraph 100 in Treatment of Pts With COVID-19,Not yet recruiting,Device: Seraph 100,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,42.0,"December 15, 2020",2021-04-15,"November 27, 2020","Carla Kikken-Jussen, Vaals, Limburg, Netherlands",https://ClinicalTrials.gov/show/NCT04547257,Netherlands,,4.0,2021,Thursday
6,7,Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients,Not yet recruiting,Drug: Tramadol|Other: Standard care delivered in the isolation hospitals.,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,100.0,July 2020,2020-10-01,"July 2, 2020",,https://ClinicalTrials.gov/show/NCT04454307,Undefined,Tramadol,10.0,2020,Thursday
7,8,Safety and Efficacy of C21 in Subjects With COVID-19,Completed,Drug: C21|Drug: Placebo,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,106.0,"July 21, 2020",2020-10-13,"October 20, 2020","Department of Medicine, Civil Hospital and B J Medical College, Ahmadabad, Gujarat, India|Infectious Disease, Metas Adventist Hospital, Surat, Gujarat, India|Clinical Research Department, Basement, Unity Trauma Centre and ICU (Unity Hospital, Surat, Gujarat, India|First Floor Clinical Research Department Rhythm Heart Institute, Vadodara, Gujarat, India|Internal Medicine S.L. Raheja Hospital, Mumbai, Maharashtra, India|Department of Medicine, Government Medical College and Hospital, Nagpur, Maharashtra, India|Neuro Critical Care, Grant Medical Foundation Ruby Hall Clinic, Pune, Maharashtra, India|Department of Medicine, Noble Hospitals Pvt. Ltd, Pune, Maharashtra, India|Respiratory Medicine, University College Hospital, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04452435,India,C21|Placebo,10.0,2020,Tuesday
8,9,Application of Desferal to Treat COVID-19,Recruiting,Drug: Deferoxamine,All,"3 Years to 99 Years   (Child, Adult, Older Adult)",Phase 1|Phase 2,50.0,April 2020,2021-03-01,"May 4, 2020","Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04333550,"Iran, Islamic Republic of",Deferoxamine,3.0,2021,Monday
9,10,Dornase Alpha for the Treatment of COVID-19,Recruiting,Drug: Pulmozyme,All,"18 Years and older   (Adult, Older Adult)",Phase 2,60.0,"May 25, 2020",2020-09-25,"June 16, 2020","Acıbadem Altunizade Hospital, Istanbul, Turkey",https://ClinicalTrials.gov/show/NCT04432987,Turkey,Pulmozyme,9.0,2020,Friday
10,11,Impact of COVID-19 Outbreak on Non-COVID-19 Patients,Enrolling by invitation,,All,"16 Years and older   (Child, Adult, Older Adult)",,40000.0,"March 1, 2020",2020-10-31,"September 7, 2020","Geneva University Hospital, Geneva, Canton De Genève, Switzerland",https://ClinicalTrials.gov/show/NCT04537559,Switzerland,,10.0,2020,Saturday
11,12,A Study Evaluating the Efficacy and Safety of CKD-314 in Hospitalized Adult Patients Diagnosed With COVID-19 Pneumonia,Not yet recruiting,Drug: Nafamostat Mesilate,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"November 20, 2020",2021-06-30,"November 13, 2020",,https://ClinicalTrials.gov/show/NCT04628143,Undefined,Nafamostat Mesilate,6.0,2021,Wednesday
12,13,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,"Active, not recruiting",Drug: Favipiravir|Other: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,100.0,"March 25, 2020",2020-07-01,"April 8, 2020","Asst Fatebenefratelli Sacco, Milano, Italy",https://ClinicalTrials.gov/show/NCT04336904,Italy,Favipiravir,7.0,2020,Wednesday
13,14,Study of AZD1222 for the Prevention of COVID-19 in Japan,"Active, not recruiting",Drug: AZD1222|Drug: 0.9% (w/v) saline,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,256.0,"August 23, 2020",2021-11-10,"December 3, 2020","Research Site, Fukuoka-shi, Japan|Research Site, Hachioji-shi, Japan|Research Site, Minato-ku, Japan|Research Site, Sumida-ku, Japan|Research Site, Toshima-ku, Japan",https://ClinicalTrials.gov/show/NCT04568031,Japan,AZD1222|0.9% (w/v) saline,11.0,2021,Wednesday
